Comment,Date,Eval_Annot_Dataset,Eval_Loss,Experiment_Name,Learning_Rate,Loss,Max_Seq_Length,Model,Num_Train_Epochs,Train_Annot_Dataset,User,accuracy,f1_macro,f1_micro,f1_negative,f1_neutral,f1_positive,f1_weighted,precision_macro,precision_micro,precision_negative,precision_neutral,precision_positive,precision_weighted,recall_macro,recall_micro,recall_negative,recall_neutral,recall_positive,recall_weighted
No Comment,2020-02-09 21:52:27.315406,cb-annot-en-fr,0.68655854,zeroshot-cb-annot-en-cb-annot-fr,2e-05,0.7379277,128,bert_model.ckpt,5,cb-annot-en,TPU2,0.838,0.6942511253257523,0.838,0.35000000000000003,0.9064676616915422,0.8262857142857143,0.832339080312722,0.725099430904295,0.838,0.4666666666666667,0.9411157024793388,0.767515923566879,0.8353977141127547,0.6830274035081052,0.838,0.28,0.8742802303262955,0.8948019801980198,0.838
No Comment,2020-02-09 21:54:02.647627,cb-annot-en-de,1.3091031,zeroshot-cb-annot-en-cb-annot-de,2e-05,1.5409882,128,bert_model.ckpt,3,cb-annot-en,TPU1,0.6735,0.47742713992693214,0.6735,0.1234567901234568,0.772239263803681,0.5365853658536586,0.6283764035058551,0.752787815325267,0.6735,0.8333333333333334,0.6430395913154534,0.7819905213270142,0.7134477976914649,0.48049775227042857,0.6735,0.06666666666666667,0.9664107485604606,0.4084158415841584,0.6735
No Comment,2020-02-09 21:55:34.160377,cb-annot-en-pt,0.79765254,zeroshot-cb-annot-en-cb-annot-pt,2e-05,0.89619356,128,bert_model.ckpt,5,cb-annot-en,TPU2,0.823,0.6359497057571014,0.823,0.2127659574468085,0.8922071861875875,0.8028759736369083,0.8051592841615548,0.7242607526769783,0.823,0.5263157894736842,0.8683015440508629,0.778164924506388,0.8062374181616067,0.6266692216246577,0.823,0.13333333333333333,0.9174664107485605,0.8292079207920792,0.823
No Comment,2020-02-09 21:57:30.636341,cb-annot-en-es,0.5674288,zeroshot-cb-annot-en-cb-annot-es,2e-05,0.53215104,128,bert_model.ckpt,3,cb-annot-en,TPU1,0.8315,0.6242873601049078,0.8315,0.15028901734104047,0.8987277353689568,0.8238453276047261,0.8123423387801139,0.7498614771262289,0.8315,0.5652173913043478,0.9566630552546046,0.7277039848197343,0.8348051660026478,0.6277776405279684,0.8315,0.08666666666666667,0.8474088291746641,0.9492574257425742,0.8315
No Comment,2020-02-09 22:00:58.675410,cb-annot-en-fr,0.5358246,zeroshot-cb-annot-en-cb-annot-fr,2e-05,0.54989815,128,bert_model.ckpt,3,cb-annot-en,TPU1,0.826,0.6450101448165562,0.826,0.22448979591836737,0.8938097634625064,0.8167308750687947,0.8124708949856365,0.7177749917181985,0.826,0.4782608695652174,0.9396825396825397,0.7353815659068385,0.8225383210183572,0.6390635973386206,0.826,0.14666666666666667,0.8522072936660269,0.9183168316831684,0.826
No Comment,2020-02-09 22:02:31.998548,cb-annot-en,0.60728157,translate-cb-annot-en-cb-annot-en,2e-05,0.61296576,128,bert_model.ckpt,5,cb-annot-en,TPU2,0.8615,0.7434366957881203,0.8615,0.4596774193548387,0.9183070866141733,0.8523255813953489,0.8572533334613182,0.7759283218869685,0.8615,0.5816326530612245,0.9424242424242424,0.8037280701754386,0.8593316196334992,0.727523897303358,0.8615,0.38,0.8953934740882917,0.9071782178217822,0.8615
No Comment,2020-02-09 22:04:26.668477,cb-annot-en-pt,0.57479644,zeroshot-cb-annot-en-cb-annot-pt,2e-05,0.60813373,128,bert_model.ckpt,3,cb-annot-en,TPU1,0.828,0.6182000069578767,0.828,0.14457831325301204,0.8955370279548799,0.8144846796657382,0.8064699756434267,0.8021251359617523,0.828,0.75,0.9157472417251755,0.7406281661600811,0.8325680920674893,0.6203008621399568,0.828,0.08,0.8761996161228407,0.9047029702970297,0.828
No Comment,2020-02-09 22:07:54.581279,cb-annot-en,0.48714525,translate-cb-annot-en-cb-annot-en,2e-05,0.47263396,128,bert_model.ckpt,3,cb-annot-en,TPU1,0.849,0.6938348794323826,0.849,0.3333333333333333,0.9084679393049437,0.8397033656588706,0.8375519561040594,0.7785128451795119,0.849,0.6296296296296297,0.9270729270729271,0.7788359788359789,0.8448769526769526,0.6760509217908356,0.849,0.22666666666666666,0.8905950095969289,0.9108910891089109,0.849
No Comment,2020-02-09 22:09:08.199401,cb-annot-en-de,0.6067706,translate-cb-annot-de-cb-annot-de,2e-05,0.5787482,128,bert_model.ckpt,5,cb-annot-en-de,TPU2,0.8465,0.7038999223556662,0.8465,0.36752136752136755,0.9152542372881356,0.8289241622574955,0.8392969217432494,0.7417107039348125,0.8465,0.5119047619047619,0.9237536656891495,0.7894736842105263,0.8386158853879567,0.6887004026698255,0.8465,0.2866666666666667,0.9069097888675623,0.8725247524752475,0.8465
No Comment,2020-02-09 22:14:05.247744,cb-annot-en-de,0.51153374,translate-cb-annot-de-cb-annot-de,2e-05,0.56772786,128,bert_model.ckpt,3,cb-annot-en-de,TPU1,0.8425,0.6926169728539938,0.8425,0.3408071748878924,0.9111328125,0.8259109311740891,0.833928749623424,0.7410758775179009,0.8425,0.5205479452054794,0.9274353876739563,0.7752442996742671,0.8354336299369461,0.6774633912527529,0.8425,0.25333333333333335,0.8953934740882917,0.8836633663366337,0.8425
No Comment,2020-02-09 22:15:28.185312,cb-annot-en-es,0.57158005,translate-cb-annot-es-cb-annot-es,2e-05,0.6820197,128,bert_model.ckpt,5,cb-annot-en-es,TPU2,0.8505,0.7045153475392517,0.8505,0.3524904214559387,0.9221902017291067,0.8388654194327098,0.8457995061608746,0.7187004890185102,0.8505,0.4144144144144144,0.9230769230769231,0.8186101295641932,0.842722650348092,0.6960401212866009,0.8505,0.30666666666666664,0.9213051823416507,0.8601485148514851,0.8505
No Comment,2020-02-09 22:19:56.419603,cb-annot-en-es,0.458685,translate-cb-annot-es-cb-annot-es,2e-05,0.50726336,128,bert_model.ckpt,3,cb-annot-en-es,TPU1,0.847,0.5844992519377498,0.847,0.0,0.916866890917828,0.8366308648954212,0.8156865195859385,0.5627405951118317,0.847,0.0,0.9181905678537055,0.7700312174817898,0.7894698977144237,0.6104628697034771,0.847,0.0,0.9155470249520153,0.9158415841584159,0.847
No Comment,2020-02-09 22:21:29.847457,cb-annot-en-fr,0.5186083,translate-cb-annot-fr-cb-annot-fr,2e-05,0.5882665,128,bert_model.ckpt,5,cb-annot-en-fr,TPU2,0.851,0.6708466972738981,0.851,0.25510204081632654,0.9170731707317072,0.8403648802736603,0.8364351866430026,0.7516959036170361,0.851,0.5434782608695652,0.9325396825396826,0.7790697674418605,0.8413582302149036,0.6603022346380512,0.851,0.16666666666666666,0.9021113243761996,0.9121287128712872,0.851
No Comment,2020-02-09 22:25:59.685452,cb-annot-en-fr,0.47681433,translate-cb-annot-fr-cb-annot-fr,2e-05,0.4779448,128,bert_model.ckpt,3,cb-annot-en-fr,TPU1,0.848,0.5856880623840529,0.848,0.0,0.9153696498054475,0.8416945373467112,0.8169521806367095,0.5645759902274179,0.848,0.0,0.928007889546351,0.7657200811359026,0.7928430232325536,0.6124923192895105,0.848,0.0,0.9030710172744721,0.9344059405940595,0.848
No Comment,2020-02-09 22:27:37.881340,cb-annot-en-pt,0.5177704,translate-cb-annot-pt-cb-annot-pt,2e-05,0.5355082,128,bert_model.ckpt,5,cb-annot-en-pt,TPU2,0.8395,0.5801982347243947,0.8395000000000001,0.0,0.9116186693147964,0.8289760348583878,0.8098596447957976,0.5615722726617668,0.8395,0.0,0.9444444444444444,0.7402723735408561,0.7911255944660613,0.6076099212608401,0.8395,0.0,0.8809980806142035,0.9418316831683168,0.8395
No Comment,2020-02-09 22:32:17.559106,cb-annot-en-pt,0.4594201,translate-cb-annot-pt-cb-annot-pt,2e-05,0.48194456,128,bert_model.ckpt,3,cb-annot-en-pt,TPU1,0.8445,0.6914900165120326,0.8445,0.33183856502242154,0.9155206286836934,0.8271108558299828,0.836026925676199,0.7387264165533217,0.8445,0.5068493150684932,0.937625754527163,0.7717041800643086,0.8382852054847697,0.6773965189225256,0.8445,0.24666666666666667,0.8944337811900192,0.8910891089108911,0.8445
No Comment,2020-02-09 22:47:28.014612,cb-annot-en,0.5748831,zeroshot-cb-annot-en-cb-annot-en,2e-05,0.61376995,128,bert_model.ckpt,5,cb-annot-en,TPU2,0.862,0.7431520352293367,0.8619999999999999,0.45669291338582674,0.9236076885165105,0.8491555037856727,0.8585103977504507,0.7696713148050834,0.862,0.5576923076923077,0.9493414387031408,0.801980198019802,0.8604338126412595,0.7293755450401086,0.862,0.38666666666666666,0.8992322456813819,0.9022277227722773,0.862
No Comment,2020-02-09 22:49:18.241715,cb-annot-en-de,1.9614583,zeroshot-cb-annot-en-cb-annot-de,2e-05,2.1766698,128,bert_model.ckpt,5,cb-annot-en,TPU2,0.634,0.49594966839310395,0.634,0.32599118942731276,0.7500931098696463,0.411764705882353,0.5816007906256047,0.6311409021086442,0.634,0.4805194805194805,0.6129032258064516,0.8,0.6785615416841223,0.49676837933313484,0.634,0.24666666666666667,0.9664107485604606,0.27722772277227725,0.634
No Comment,2020-02-09 22:52:46.332270,cb-annot-en-es,0.73491037,zeroshot-cb-annot-en-cb-annot-es,2e-05,0.69595534,128,bert_model.ckpt,5,cb-annot-en,TPU2,0.828,0.6820320575954528,0.828,0.3410138248847926,0.8899660688317984,0.8151162790697675,0.8185553354719125,0.7399992227036032,0.828,0.5522388059701493,0.8991185112634672,0.768640350877193,0.8203893565704136,0.6650796682355375,0.828,0.24666666666666667,0.8809980806142035,0.8675742574257426,0.828
No Comment,2020-02-09 22:53:30.121899,cb-annot-en,0.47390345,zeroshot-cb-annot-en-cb-annot-en,2e-05,0.4647253,128,bert_model.ckpt,3,cb-annot-en,TPU1,0.8515,0.6900897913162399,0.8515,0.31527093596059114,0.9140893470790377,0.8409090909090909,0.8396131427524959,0.7722543004117357,0.8515,0.6037735849056604,0.935678391959799,0.7773109243697479,0.8468050745243579,0.6742163352611653,0.8515,0.21333333333333335,0.8934740882917467,0.9158415841584159,0.8515
No Comment,2020-02-09 22:56:14.237483,cb-annot-en-fr,0.65938145,zeroshot-cb-annot-en-cb-annot-fr,2e-05,0.63359416,128,bert_model.ckpt,5,cb-annot-en,TPU2,0.8305,0.7069742583041898,0.8305,0.39860139860139865,0.9013657056145674,0.8209556706966034,0.8311727284817223,0.7131835834441419,0.8305,0.41911764705882354,0.9529411764705882,0.767491926803014,0.8379829148990059,0.705837371645034,0.8305,0.38,0.8550863723608445,0.8824257425742574,0.8305
No Comment,2020-02-09 22:56:26.607142,cb-annot-en-de,1.545154,zeroshot-cb-annot-en-cb-annot-de,2e-05,1.684065,128,bert_model.ckpt,3,cb-annot-en,TPU1,0.6395,0.46501213112686884,0.6395,0.20454545454545456,0.7496307237813884,0.44086021505376344,0.584006043062733,0.7000842294959941,0.6395,0.6923076923076923,0.6092436974789915,0.7987012987012987,0.6920143679849562,0.46618124576373177,0.6395,0.12,0.974088291746641,0.30445544554455445,0.6395
No Comment,2020-02-09 22:59:42.128409,cb-annot-en-pt,0.79350495,zeroshot-cb-annot-en-cb-annot-pt,2e-05,0.7314923,128,bert_model.ckpt,5,cb-annot-en,TPU2,0.8135,0.661563514707699,0.8135,0.3121951219512195,0.8820414058738566,0.7904540162980209,0.8023016291910211,0.7376653941871334,0.8135,0.5818181818181818,0.885024154589372,0.7461538461538462,0.8061801020235803,0.6442528542681524,0.8135,0.21333333333333335,0.8790786948176583,0.8403465346534653,0.8135
