Comment,Date,Eval_Annot_Dataset,Eval_Loss,Experiment_Name,Learning_Rate,Loss,Max_Seq_Length,Model,Num_Train_Iterations,Train_Annot_Dataset,User,accuracy,f1_macro,f1_micro,f1_negative,f1_neutral,f1_positive,f1_weighted,precision_macro,precision_micro,precision_negative,precision_neutral,precision_positive,precision_weighted,recall_macro,recall_micro,recall_negative,recall_neutral,recall_positive,recall_weighted
No Comment,2020-02-10 14:08:10.612429,cb-annot-en-pt,0.50415295,multitranslate-cb-annot-en-de-fr-es-cb-annot-pt,2e-05,0.5184498,128,bert_model.ckpt,100,cb-annot-en-de-fr-es,TPU1,0.8145,0.5640782072701532,0.8145,0.0,0.8834800621439669,0.8087545596664929,0.7870299544822699,0.552658302950655,0.8145,0.0,0.9595050618672666,0.6984698469846985,0.7820839554146641,0.5930046939434827,0.8145,0.0,0.8186180422264875,0.9603960396039604,0.8145
No Comment,2020-02-10 14:13:40.545020,cb-annot-en,0.4749069,zeroshot-cb-annot-en-cb-annot-en,2e-05,0.49461317,128,bert_model.ckpt,100,cb-annot-en,TPU1,0.835,0.5777083301269147,0.835,0.0,0.9071537290715374,0.825971261309207,0.8063194824151906,0.5622938566647805,0.835,0.0,0.9623250807319699,0.7245564892623716,0.7940921887233544,0.6061204968865409,0.835,0.0,0.8579654510556622,0.9603960396039604,0.835
No Comment,2020-02-10 14:16:50.503801,cb-annot-en-de,1.6501633,zeroshot-cb-annot-en-cb-annot-de,2e-05,1.8264375,128,bert_model.ckpt,100,cb-annot-en,TPU1,0.583,0.33582896760236663,0.583,0.0,0.7178043631245602,0.2896825396825397,0.4910078192196419,0.43222222222222223,0.583,0.0,0.5666666666666667,0.73,0.5901533333333334,0.38652660851497816,0.583,0.0,0.9788867562380038,0.1806930693069307,0.583
No Comment,2020-02-10 14:20:18.668675,cb-annot-en-es,0.49292853,zeroshot-cb-annot-en-cb-annot-es,2e-05,0.50703657,128,bert_model.ckpt,100,cb-annot-en,TPU1,0.825,0.5712534885494975,0.825,0.0,0.8957688338493293,0.8179916317991633,0.7971641816823626,0.5590277777777778,0.825,0.0,0.96875,0.7083333333333334,0.7908854166666668,0.6002784059595979,0.825,0.0,0.8330134357005758,0.9678217821782178,0.825
No Comment,2020-02-10 14:23:46.528016,cb-annot-en-fr,0.48792696,zeroshot-cb-annot-en-cb-annot-fr,2e-05,0.5092134,128,bert_model.ckpt,100,cb-annot-en,TPU1,0.8285,0.5736420133415412,0.8285,0.0,0.8985059247810407,0.8224201152435829,0.8003793133693298,0.5609849407135523,0.8285,0.0,0.9699666295884316,0.7129881925522252,0.7933998438066718,0.6027956202530041,0.8285,0.0,0.836852207293666,0.9715346534653465,0.8285
No Comment,2020-02-10 14:27:14.337896,cb-annot-en-pt,0.53202856,zeroshot-cb-annot-en-cb-annot-pt,2e-05,0.5520937,128,bert_model.ckpt,100,cb-annot-en,TPU1,0.819,0.5664059545241372,0.819,0.0,0.8893360160965795,0.8098818474758324,0.7905363307665542,0.5499436356415307,0.819,0.0,0.9344608879492601,0.715370018975332,0.7758636102875986,0.5938456129682067,0.819,0.0,0.8483685220729367,0.9331683168316832,0.819
No Comment,2020-02-10 14:30:42.496887,cb-annot-en,0.4749069,translate-cb-annot-en-cb-annot-en,2e-05,0.49461317,128,bert_model.ckpt,100,cb-annot-en,TPU1,0.835,0.5777083301269147,0.835,0.0,0.9071537290715374,0.825971261309207,0.8063194824151906,0.5622938566647805,0.835,0.0,0.9623250807319699,0.7245564892623716,0.7940921887233544,0.6061204968865409,0.835,0.0,0.8579654510556622,0.9603960396039604,0.835
No Comment,2020-02-10 14:36:03.943116,cb-annot-en-de,0.5031908,translate-cb-annot-de-cb-annot-de,2e-05,0.5585485,128,bert_model.ckpt,100,cb-annot-en-de,TPU1,0.8215,0.5684365881259801,0.8215,0.0,0.8936386768447837,0.8116710875331565,0.7935008699995276,0.5538507812822223,0.8215,0.0,0.9512459371614301,0.7103064066852368,0.7825629215619408,0.596464180967041,0.8215,0.0,0.8426103646833013,0.9467821782178217,0.8215
No Comment,2020-02-10 14:41:36.672466,cb-annot-en-es,0.4724578,translate-cb-annot-es-cb-annot-es,2e-05,0.47186378,128,bert_model.ckpt,100,cb-annot-en-es,TPU1,0.8235,0.5702556767709478,0.8235,0.0,0.8940568475452196,0.816710182767624,0.7957545314091794,0.5583529158670957,0.8235,0.0,0.9686450167973124,0.7064137308039747,0.7900552009962055,0.5993187130613253,0.8235,0.0,0.8301343570057581,0.9678217821782178,0.8235
No Comment,2020-02-10 14:46:59.157725,cb-annot-en-fr,0.48552838,translate-cb-annot-fr-cb-annot-fr,2e-05,0.51294756,128,bert_model.ckpt,100,cb-annot-en-fr,TPU1,0.826,0.5718492432944401,0.826,0.0,0.8951695786228161,0.8203781512605042,0.7978161235717309,0.5586956053657172,0.826,0.0,0.963495575221239,0.7125912408759124,0.7898680560041341,0.600825557603745,0.826,0.0,0.8358925143953935,0.9665841584158416,0.826
No Comment,2020-02-10 14:52:30.707865,cb-annot-en-pt,0.46553504,translate-cb-annot-pt-cb-annot-pt,2e-05,0.47715157,128,bert_model.ckpt,100,cb-annot-en-pt,TPU1,0.83,0.574694589877836,0.83,0.0,0.9,0.8240837696335078,0.8018298429319373,0.5621054787340828,0.83,0.0,0.9721603563474388,0.7141560798548094,0.7950146019183586,0.6039406003940125,0.83,0.0,0.8378119001919386,0.974009900990099,0.83
No Comment,2020-02-10 14:58:27.268604,cb-annot-en,0.46144164,multitranslate-cb-annot-en-de-fr-es-cb-annot-en,2e-05,0.48586136,128,bert_model.ckpt,100,cb-annot-en-de-fr-es,TPU1,0.831,0.5748068924539513,0.831,0.0,0.9030303030303032,0.8213903743315507,0.8023204991087345,0.5587518420809592,0.831,0.0,0.9530916844349681,0.7231638418079096,0.7887189596810138,0.6028201668535376,0.831,0.0,0.8579654510556622,0.9504950495049505,0.831
No Comment,2020-02-10 15:00:10.484132,cb-annot-en-de,0.47737467,multitranslate-cb-annot-en-de-fr-escb-annot-de,2e-05,0.46845606,128,bert_model.ckpt,100,cb-annot-en-de-fr-es,TPU1,0.826,0.571554357553282,0.826,0.0,0.8972533062054934,0.8174097664543525,0.7977025181806204,0.5567196124816943,0.826,0.0,0.9545454545454546,0.7156133828996283,0.7864259885096316,0.5998064777686981,0.826,0.0,0.8464491362763915,0.9529702970297029,0.826
No Comment,2020-02-10 15:03:38.849608,cb-annot-en-es,0.4712534,multitranslate-cb-annot-en-de-fr-es-cb-annot-es,2e-05,0.49269202,128,bert_model.ckpt,100,cb-annot-en-de-fr-es,TPU1,0.819,0.566242123865048,0.819,0.0,0.8931259407927746,0.8056004308023694,0.7907811891971929,0.5496390166122193,0.819,0.0,0.935856992639327,0.7130600571973308,0.775657756272811,0.5932897512399992,0.819,0.0,0.8541266794625719,0.9257425742574258,0.819
No Comment,2020-02-10 15:07:06.592303,cb-annot-en-fr,0.4693506,multitranslate-cb-annot-en-de-fr-es-cb-annot-fr,2e-05,0.46029508,128,bert_model.ckpt,100,cb-annot-en-de-fr-es,TPU1,0.83,0.5746299707395187,0.83,0.0,0.8997429305912596,0.8241469816272966,0.8017214474154741,0.5615267384150808,0.83,0.0,0.9689922480620154,0.715587967183227,0.7939424999823339,0.6037553131512767,0.83,0.0,0.8397312859884837,0.9715346534653465,0.83
No Comment,2020-02-10 15:10:34.470724,cb-annot-en-pt,0.47306547,multitranslate-cb-annot-en-de-fr-es-cb-annot-pt,2e-05,0.46305087,128,bert_model.ckpt,100,cb-annot-en-de-fr-es,TPU1,0.826,0.5713606654783124,0.826,0.0,0.8969696969696969,0.8171122994652406,0.7974345811051692,0.5553641531379957,0.826,0.0,0.9466950959488273,0.71939736346516,0.7838646798292637,0.5992506160404908,0.826,0.0,0.8522072936660269,0.9455445544554455,0.826
